COMPANY,COUNTRY,MARKET,MARKET NAME
360Networks Inc.,Canada,OTC,Over-the-Counter Market 
3DLabs Inc. Ltd.,Bermuda,NMS,Nasdaq Stock Market-National Market System 
724 Solutions Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
A B Electrolux,Sweden,NMS,Nasdaq Stock Market-National Market System 
A B SKF,Sweden,NMS,Nasdaq Stock Market-National Market System 
A B Volvo,Sweden,NMS,Nasdaq Stock Market-National Market System 
A R T International Inc.,Canada,OTC,Over-the-Counter Market 
A.O. Tatneft,Russia,NYSE,New York Stock Exchange 
ABB Ltd.,Switzerland,NYSE,New York Stock Exchange 
Abbey National plc,United Kingdom,NYSE,New York Stock Exchange 
Aber Diamond Ltd.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Abitibi Consolidated Inc.,Canada,NYSE,New York Stock Exchange 
ABN Amro Holding N.V.,Netherlands,NYSE,New York Stock Exchange 
Acambis plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Accelio Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Acetex Corp.,Canada,OTC,Over-the-Counter Market 
Achieva Development Corp.,Canada,OTC,Over-the-Counter Market 
Acindar Industria Argentina de Aceros S.A.,Argentina,OTC,Over-the-Counter Market 
ACLN Ltd.,Cyprus,NYSE,New York Stock Exchange 
ACS-Tech 80 Ltd.,Israel,SM CAP,Nasdaq Stock Market-Small Cap Market 
ActFit.com Inc.,Canada,OTC,Over-the-Counter Market 
ActivCard S.A.,France,NMS,Nasdaq Stock Market-National Market System 
Active Assets & Associates Inc.,Canada,OTC,Over-the-Counter Market 
ADB Systems International Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Adecco S.A.,Switzerland,NYSE,New York Stock Exchange 
Adrian Resources Ltd.,Canada,OTC,Over-the-Counter Market 
Advance Agro Public Co. Ltd.,Thailand,OTC,Over-the-Counter Market 
"Advanced Semiconductor Engineering, Inc.",Taiwan,NYSE,New York Stock Exchange 
Advantest Corp.,Japan,NYSE,New York Stock Exchange 
AdvantExcel.com Communications Corp.,Canada,OTC,Over-the-Counter Market 
AEGON N.V.,Netherlands,NYSE,New York Stock Exchange 
Aerco Ltd.,United Kingdom,OTC,Over-the-Counter Market 
AES Drax Holdings Ltd.,United Kingdom,OTC,Over-the-Counter Market 
AES Drax Power Finance Holdings Ltd.,United Kingdom,OTC,Over-the-Counter Market 
Aeterna Laboratories Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Agnico-Eagle Mines Ltd.,Canada,NYSE,New York Stock Exchange 
Agrium Inc.,Canada,NYSE,New York Stock Exchange 
AimGlobal Technologies Co. Inc.,Canada,AMEX,American Stock Exchange 
Ainsworth Lumber Co. Ltd.,Canada,OTC,Over-the-Counter Market 
Air Canada,Canada,NMS,Nasdaq Stock Market-National Market System 
Akzo Nobel N.V.,Netherlands,NMS,Nasdaq Stock Market-National Market System 
Aladdin Knowledge Systems Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Alberta Energy Co. Ltd.,Canada,NYSE,New York Stock Exchange 
Alcan Inc.,Canada,NYSE,New York Stock Exchange 
Alcatel,France,NYSE,New York Stock Exchange 
"Alestra, S de R.L. de C.V.",Mexico,OTC,Over-the-Counter Market 
Alfa Laval Special Finance AB,Sweden,OTC,Over-the-Counter Market 
Algoma Steel Inc.,Canada,OTC,Over-the-Counter Market 
Alliance Atlantis Communications Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Allianz Aktiengesellschaft,Germany,NYSE,New York Stock Exchange 
Allied Irish Banks plc,Ireland,NYSE,New York Stock Exchange 
Allura International Inc.,Canada,OTC,Over-the-Counter Market 
Almaden Resource Corp.,Canada,OTC,Over-the-Counter Market 
Alstom,France,NYSE,New York Stock Exchange 
"Altair International, Inc.",Canada,NMS,Nasdaq Stock Market-National Market System 
Altarex Corp.,Canada,OTC,Over-the-Counter Market 
Alto Palermo S.A.,Argentina,NMS,Nasdaq Stock Market-National Market System 
Aluminum Corp of China Ltd.,China,NYSE,New York Stock Exchange 
Alvarion Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Amarin Corp plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Amatek Industries Pty Ltd.,Australia,OTC,Over-the-Counter Market 
Amcor Ltd.,Australia,NMS,Nasdaq Stock Market-National Market System 
Amdocs Ltd.,United Kingdom,NYSE,New York Stock Exchange 
America Mineral Fields Inc.,Canada,OTC,Over-the-Counter Market 
"America Movil, S.A. de C.V.",Mexico,NYSE,New York Stock Exchange 
American Israeli Paper Mills Ltd.,Israel,AMEX,American Stock Exchange 
Amersham plc,United Kingdom,NYSE,New York Stock Exchange 
Amvescap plc,United Kingdom,NYSE,New York Stock Exchange 
Amway Japan Ltd.,Japan,OTC,Over-the-Counter Market 
Anangel-American Shipholdings Ltd.,Cayman Islands,NMS,Nasdaq Stock Market-National Market System 
"Anchor Lamina, Inc.",Canada,OTC,Over-the-Counter Market 
"Angiotech Pharmaceuticals, Inc.",Canada,NMS,Nasdaq Stock Market-National Market System 
Anglo Swiss Resources Inc.,Canada,OTC,Over-the-Counter Market 
Anglogold Ltd.,South Africa,NYSE,New York Stock Exchange 
Anooraq Resources Corp.,Canada,OTC,Over-the-Counter Market 
Antenna TV S.A.,Greece,NMS,Nasdaq Stock Market-National Market System 
Anthony Clark International Insurance Brokers Inc.,Canada,OTC,Over-the-Counter Market 
API Electronics Group Inc.,Canada,OTC,Over-the-Counter Market 
Apiva.com Web Corp.,Canada,OTC,Over-the-Counter Market 
APT Satellite Holdings Ltd.,Bermuda,NYSE,New York Stock Exchange 
Aracruz Celulose S.A.,Brazil,NYSE,New York Stock Exchange 
Aramex International Ltd.,Bermuda,NMS,Nasdaq Stock Market-National Market System 
ARC Energy Trust,Canada,OTC,Over-the-Counter Market 
Arcadis N.V.,Netherlands,NMS,Nasdaq Stock Market-National Market System 
Arch Capital Group Ltd.,Bermuda,NMS,Nasdaq Stock Market-National Market System 
Archangel Diamond Co.,Canada,OTC,Over-the-Counter Market 
Arel Communications & Software Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Argosy Minerals Inc.,Canada,OTC,Over-the-Counter Market 
Ariel Resources Ltd.,Canada,OTC,Over-the-Counter Market 
Arm Holdings plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Art Advanced Research Technologies Inc.,Canada,OTC,Over-the-Counter Market 
Aryt Industries Ltd.,Israel,OTC,Over-the-Counter Market 
ASAT Holdings Ltd.,Cayman Islands,NMS,Nasdaq Stock Market-National Market System 
ASE Test Ltd.,Singapore,NMS,Nasdaq Stock Market-National Market System 
Ashanti Goldfields Co. Ltd.,Ghana,NYSE,New York Stock Exchange 
Asia Pacific Resources International Ltd.,Bermuda,OTC,Over-the-Counter Market 
"Asia Pacific Resources, Ltd.",Canada,OTC,Over-the-Counter Market 
Asia Pacific Wire & Cable Corp. Ltd.,Bermuda,NYSE,New York Stock Exchange 
Asia Pulp & Paper Co. Ltd.,Singapore,OTC,Over-the-Counter Market 
Asia Satellite Telecommunications Holdings Ltd.,Bermuda,NYSE,New York Stock Exchange 
Asiacontent.com Ltd.,British Virgin Islands,NMS,Nasdaq Stock Market-National Market System 
ASM International N.V.,Netherlands,NMS,Nasdaq Stock Market-National Market System 
ASML Holding N.V.,Netherlands,NMS,Nasdaq Stock Market-National Market System 
Aspen Group Resources Corp.,Canada,OTC,Over-the-Counter Market 
AstraZeneca plc,United Kingdom,NYSE,New York Stock Exchange 
Astris Energi Inc.,Canada,OTC,Over-the-Counter Market 
AT Plastics Inc.,Canada,AMEX,American Stock Exchange 
AT&T Canada Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
ATI Technologies Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Atlantic Caspian Resources plc,United Kingdom,OTC,Over-the-Counter Market 
Atlantic Telecom Group plc,United Kingdom,OTC,Over-the-Counter Market 
Atlas Pacific Ltd.,Australia,SM CAP,Nasdaq Stock Market-Small Cap Market 
ATNA Resources Ltd.,Canada,OTC,Over-the-Counter Market 
Attunity Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Audiocodes Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Aurizon Mines Ltd.,Canada,OTC,Over-the-Counter Market 
Aurora Metals BVI Ltd.,Canada,OTC,Over-the-Counter Market 
Australia & New Zealand Banking Group Ltd.,Australia,NYSE,New York Stock Exchange 
Autonomy Corp plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Avecia Group plc,United Kingdom,OTC,Over-the-Counter Market 
Aventis,France,NYSE,New York Stock Exchange 
AXA,France,NYSE,New York Stock Exchange 
Axcan Pharma Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Ayotte Music Inc.,Canada,OTC,Over-the-Counter Market 
"Azteca Holdings, S.A. de C.V.",Mexico,OTC,Over-the-Counter Market 
Aztek Technologies Inc.,Canada,OTC,Over-the-Counter Market 
B & H Ocean Carriers Ltd.,Liberia,AMEX,American Stock Exchange 
Bakbone Software Inc.,Canada,OTC,Over-the-Counter Market 
Balaton Power Inc.,Canada,OTC,Over-the-Counter Market 
Ballard Power Systems Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Baltimore Technologies plc,United Kingdom,OTC,Over-the-Counter Market 
Banco Bilboa Vizcaya Argentaria S.A.,Spain,NYSE,New York Stock Exchange 
Banco Bradesco S.A.,Brazil,NYSE,New York Stock Exchange 
Banco Comercial Portugues S.A.,Portugal,NYSE,New York Stock Exchange 
Banco de A. Edwards,Chile,NYSE,New York Stock Exchange 
Banco de Chile,Chile,NYSE,New York Stock Exchange 
Banco Espirito Santo e Comercial de Lisboa S.A.,Portugal,NYSE,New York Stock Exchange 
Banco Rio de la Plata S.A.,Argentina,OTC,Over-the-Counter Market 
Banco Santander - Chile,Chile,NYSE,New York Stock Exchange 
Banco Santander Central Hispano S.A.,Spain,NYSE,New York Stock Exchange 
Banco Santiago,Chile,NYSE,New York Stock Exchange 
Banco Totta & Acores S.A.,Portugal,NYSE,New York Stock Exchange 
BanColombia S.A.,Colombia,NYSE,New York Stock Exchange 
Bank of Montreal,Canada,NYSE,New York Stock Exchange 
Barak I.T.C. (1995) - International Telecommunications Services Corp.,Israel,OTC,Over-the-Counter Market 
Barbeques Galore Ltd.,Australia,NMS,Nasdaq Stock Market-National Market System 
Barclays Bank plc,United Kingdom,NYSE,New York Stock Exchange 
Barclays plc,United Kingdom,NYSE,New York Stock Exchange 
Barrick Gold Corp.,Canada,NYSE,New York Stock Exchange 
BASF Aktiengesellschaft,Germany,NYSE,New York Stock Exchange 
Battery Technologies Inc.,Canada,OTC,Over-the-Counter Market 
Baytex Energy Ltd.,Canada,OTC,Over-the-Counter Market 
BBVA Banco BHIF,Chile,NYSE,New York Stock Exchange 
BBVA Banco Frances S.A.,Argentina,NYSE,New York Stock Exchange 
BCE Inc.,Canada,NYSE,New York Stock Exchange 
BCI Telecom Holding Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
BE Semiconductor Industries N.V.,Netherlands,NMS,Nasdaq Stock Market-National Market System 
Beijing Yanhua Petrochemical Co. Ltd.,China,NYSE,New York Stock Exchange 
Bell Canada,Canada,OTC,Over-the-Counter Market 
"Belmont Resources, Inc.",Canada,OTC,Over-the-Counter Market 
Belzberg Technologies Inc.,Canada,OTC,Over-the-Counter Market 
Bema Gold Corp.,Canada,AMEX,American Stock Exchange 
Benetton Group S.p.A.,Italy,NYSE,New York Stock Exchange 
Benguet,Philippines,OTC,Over-the-Counter Market 
Bennett Environmental Inc.,Canada,AMEX,American Stock Exchange 
Berkley Resources Inc.,Canada,OTC,Over-the-Counter Market 
Bestel S.A. de C.V.,Mexico,OTC,Over-the-Counter Market 
BG Group plc,United Kingdom,NYSE,New York Stock Exchange 
BHP Billiton Ltd.,Australia,NYSE,New York Stock Exchange 
Biacore International AB,Sweden,NMS,Nasdaq Stock Market-National Market System 
Big Rock Brewery Ltd.,Canada,NMS,Nasdaq Stock Market-National Market System 
Bioforest Pacific Inc.,Canada,OTC,Over-the-Counter Market 
Biomira Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Biora AB,Sweden,OTC,Over-the-Counter Market 
Biovail Corporation,Canada,NYSE,New York Stock Exchange 
Birch Mountain Resources Ltd.,Canada,OTC,Over-the-Counter Market 
Blue Square - Israel Ltd.,Israel,NYSE,New York Stock Exchange 
Boardwalk Equities Inc.,Canada,NYSE,New York Stock Exchange 
BOC Group plc,United Kingdom,NYSE,New York Stock Exchange 
Bonso Electronics International Inc.,British Virgin Islands,NMS,Nasdaq Stock Market-National Market System 
Bookham Technology plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
BOS Better Online Solutions Ltd.,Israel,SM CAP,Nasdaq Stock Market-Small Cap Market 
Bouygues Offshore S.A.,France,NYSE,New York Stock Exchange 
BP plc,United Kingdom,NYSE,New York Stock Exchange 
Bracknell Corp.,Canada,OTC,Over-the-Counter Market 
Bradner Ventures Ltd.,Canada,OTC,Over-the-Counter Market 
Brandera.com Inc.,Canada,OTC,Over-the-Counter Market 
Brascan Corp.,Canada,NYSE,New York Stock Exchange 
Brasil Telecom Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Brasil Telecom S.A.,Brazil,NYSE,New York Stock Exchange 
Bravo Resource Partners Ltd.,Canada,OTC,Over-the-Counter Market 
Breakwater Resources Ltd.,Canada,OTC,Over-the-Counter Market 
Brilliance China Automotive Holdings Ltd.,Bermuda,NYSE,New York Stock Exchange 
British Airways plc,United Kingdom,NYSE,New York Stock Exchange 
British Biotech plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
British Energy plc,United Kingdom,NYSE,New York Stock Exchange 
British Sky Broadcasting Group plc,United Kingdom,NYSE,New York Stock Exchange 
Brocker Technology Group Ltd.,Canada,OTC,Over-the-Counter Market 
Brokat Aktiengesellschaft,Germany,OTC,Over-the-Counter Market 
Brookfield Properties Corp.,Canada,NYSE,New York Stock Exchange 
BT Group plc,United Kingdom,NYSE,New York Stock Exchange 
Buenos Aires Embotelladora S.A.-BAESA,Argentina,OTC,Over-the-Counter Market 
Buffalo Diamonds Ltd.,Canada,OTC,Over-the-Counter Market 
Buhrmann N.V.,Netherlands,NYSE,New York Stock Exchange 
Bunge Ltd.,Bermuda,NYSE,New York Stock Exchange 
Bunzl plc,United Kingdom,NYSE,New York Stock Exchange 
BVR Systems Ltd.,Israel,SM CAP,Nasdaq Stock Market-Small Cap Market 
BVR Technologies Ltd.,Israel,SM CAP,Nasdaq Stock Market-Small Cap Market 
Cable and Wireless plc,United Kingdom,NYSE,New York Stock Exchange 
Cable Satisfaction International Inc.,Canada,OTC,Over-the-Counter Market 
Cabletel Communications Corp.,Canada,AMEX,American Stock Exchange 
"Cableuropa, S.A.",United Kingdom,OTC,Over-the-Counter Market 
Cablevision S.A.,Argentina,OTC,Over-the-Counter Market 
Cadbury Schweppes plc,United Kingdom,NYSE,New York Stock Exchange 
Cade Struktur Corp.,Canada,OTC,Over-the-Counter Market 
Calais Resources Inc.,Canada,OTC,Over-the-Counter Market 
CalciTech Ltd.,Canada,OTC,Over-the-Counter Market 
Caledonia Mining Corp.,Canada,OTC,Over-the-Counter Market 
California Exploration Ltd.,Canada,OTC,Over-the-Counter Market 
Call Net Enterprises Inc.,Canada,OTC,Over-the-Counter Market 
Callahan Nordheim-Westfalen GmbH,Germany,OTC,Over-the-Counter Market 
Cambior Inc.,Canada,AMEX,American Stock Exchange 
Cambridge Antibody Technology Group plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Cameco Co.,Canada,NYSE,New York Stock Exchange 
Camflo Resources Ltd.,Canada,OTC,Over-the-Counter Market 
Campbell Resources Inc.,Canada,OTC,Over-the-Counter Market 
Camtek Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Camuzzi Gas del Sur S.A.,Argentina,OTC,Over-the-Counter Market 
Camuzzi Gas Pampeana S.A.,Argentina,OTC,Over-the-Counter Market 
Canada Life Financial Corp.,Canada,NYSE,New York Stock Exchange 
Canada Southern Petroleum Ltd.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Canadian 88 Energy Corp.,Canada,AMEX,American Stock Exchange 
Canadian Imperial Bank of Commerce,Canada,NYSE,New York Stock Exchange 
Canadian National Railway Ltd.,Canada,NYSE,New York Stock Exchange 
Canadian Natural Resources Ltd.,Canada,NYSE,New York Stock Exchange 
Canadian Pacific Railway Ltd.,Canada,NYSE,New York Stock Exchange 
Canadian Zinc Corp.,Canada,OTC,Over-the-Counter Market 
Canalaska Ventures Ltd.,Canada,OTC,Over-the-Counter Market 
Canarc Resources Corp.,Canada,OTC,Over-the-Counter Market 
Canon Inc.,Japan,NYSE,New York Stock Exchange 
CanWest Global Communications Co.,Canada,NYSE,New York Stock Exchange 
Canwest Media Inc.,Canada,OTC,Over-the-Counter Market 
Capital Environmental Resource Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Carlisle Holdings Ltd.,Belize,NMS,Nasdaq Stock Market-National Market System 
Carlton Communications plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Carmanah Technologies Corp.,Canada,OTC,Over-the-Counter Market 
Carmel Container Systems Ltd.,Israel,AMEX,American Stock Exchange 
"CBX Ventures, Inc.",Canada,OTC,Over-the-Counter Market 
CE Franklin Ltd.,Canada,AMEX,American Stock Exchange 
Cedara Software Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Celanese AG,Germany,NYSE,New York Stock Exchange 
Celestica Inc.,Canada,NYSE,New York Stock Exchange 
Celltech Group plc,United Kingdom,NYSE,New York Stock Exchange 
Celulosa Arauco y Constitucion S.A.,Chile,OTC,Over-the-Counter Market 
"Cemex, S.A. de C.V.",Mexico,NYSE,New York Stock Exchange 
Cenargo International plc,United Kingdom,OTC,Over-the-Counter Market 
Cenes Pharmaceuticals plc,United Kingdom,OTC,Over-the-Counter Market 
Central Fund of Canada Ltd.,Canada,AMEX,American Stock Exchange 
Central Minera Corp.,Canada,OTC,Over-the-Counter Market 
Centurion Energy International Inc.,Canada,OTC,Over-the-Counter Market 
Ceragon Networks Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Certicom Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Ceyoniq AG,Germany,NMS,Nasdaq Stock Market-National Market System 
"Cez, A.S.",Czech Republic,OTC,Over-the-Counter Market 
CFM Majestic Inc.,Canada,OTC,Over-the-Counter Market 
CGI Group Inc.,Canada,NYSE,New York Stock Exchange 
CGU Group Canada Ltd.,Canada,OTC,Over-the-Counter Market 
Chai-Na-Ta Corp.,Canada,OTC,Over-the-Counter Market 
Chartered Semiconductor Manufacturing Ltd.,Singapore,NMS,Nasdaq Stock Market-National Market System 
Chartwell Technology Inc.,Canada,OTC,Over-the-Counter Market 
CHC Helicopter Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Check Point Software Technologies Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
China Convergent Corp. Ltd.,Bermuda,OTC,Over-the-Counter Market 
China Eastern Airlines Corp. Ltd.,China,NYSE,New York Stock Exchange 
China Enterprises Ltd.,Bermuda,NYSE,New York Stock Exchange 
China Mobile (Hong Kong) Ltd.,Hong Kong,NYSE,New York Stock Exchange 
China Petroleum & Chemical Corp. (Sinopec),China,NYSE,New York Stock Exchange 
China Southern Airlines Corp. Ltd.,China,NYSE,New York Stock Exchange 
China Unicom Ltd.,Hong Kong,NYSE,New York Stock Exchange 
China Yuchai International Ltd.,Bermuda,NYSE,New York Stock Exchange 
Chinadotcom Corp.,Cayman Islands,NMS,Nasdaq Stock Market-National Market System 
Chipmos Technologies (Bermuda) Ltd.,Bermuda,NMS,Nasdaq Stock Market-National Market System 
Ciba Speciality Chemicals Holding Inc.,Switzerland,NYSE,New York Stock Exchange 
Cimatron Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Cinema Internet Networks Inc.,Canada,OTC,Over-the-Counter Market 
Cinram International Ltd.,Canada,OTC,Over-the-Counter Market 
Citadel Gold Mines Inc.,Canada,OTC,Over-the-Counter Market 
City Telecom (H.K.) Ltd.,Hong Kong,NMS,Nasdaq Stock Market-National Market System 
CityView Corp Ltd.,Australia,OTC,Over-the-Counter Market 
Claxson Interactive Group plc,British Virgin Islands,NMS,Nasdaq Stock Market-National Market System 
Clearly Canadian Beverage Corp.,Canada,OTC,Over-the-Counter Market 
Clearwave N.V.,Netherlands,OTC,Over-the-Counter Market 
Clondalkin Industries plc,Ireland,OTC,Over-the-Counter Market 
CLP Power Hong Kong Ltd.,Hong Kong,OTC,Over-the-Counter Market 
Clubhaus plc,United Kingdom,OTC,Over-the-Counter Market 
CNH Global N.V.,Netherlands,NYSE,New York Stock Exchange 
CNOOC Ltd.,Hong Kong,NYSE,New York Stock Exchange 
Coca-Cola Embonor S.A.,Chile,OTC,Over-the-Counter Market 
Coca-Cola Femsa S.A. de C.V.,Mexico,NYSE,New York Stock Exchange 
Cognicase Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Cognos Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Coles Myer Ltd.,Australia,NYSE,New York Stock Exchange 
Colt Telecom Group plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Commercial Consolidators Corp.,Canada,AMEX,American Stock Exchange 
Commonwealth Bank of Australia,Australia,OTC,Over-the-Counter Market 
Commtouch Software Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Compagnie Generale de Geophysique,France,NYSE,New York Stock Exchange 
Companhia Brasileira de Distribuicao,Brazil,NYSE,New York Stock Exchange 
Companhia de Alimentos Fargo,Argentina,OTC,Over-the-Counter Market 
Companhia de Bedidas das Americas - AMBEV,Brazil,NYSE,New York Stock Exchange 
Companhia Energetica de Minas Gerais - CEMIG,Brazil,NYSE,New York Stock Exchange 
Companhia Parananse de Energia - Copel,Brazil,NYSE,New York Stock Exchange 
Companhia Siderurgica Nacional,Brazil,NYSE,New York Stock Exchange 
Companhia Vale de Rio Doce S.A.,Brazil,NYSE,New York Stock Exchange 
Compania Anonima Nacional Telefonos de Venezuela S.A.,Venezuela,NYSE,New York Stock Exchange 
Compania Cervecerias Unidas S.A.,Chile,NYSE,New York Stock Exchange 
Compania de Minas Buenaventura S.A.,Peru,NYSE,New York Stock Exchange 
Compania de Telecomunicaciones de Chile S.A.,Chile,NYSE,New York Stock Exchange 
Compania Internacional de Telecomunicaciones S.A.,Argentina,OTC,Over-the-Counter Market 
Compugen Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Comunicacion Celular S.A.,Colombia,OTC,Over-the-Counter Market 
Concordia Bus AB,Sweden,OTC,Over-the-Counter Market 
Coniagas Resources Ltd,Canada,OTC,Over-the-Counter Market 
Conoco Canada Resources Ltd.,Canada,NYSE,New York Stock Exchange 
Consolidated Envirowaste Industries Inc.,Canada,OTC,Over-the-Counter Market 
Consolidated Mercantile Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Consolidated Trillion Resources Ltd.,Canada,OTC,Over-the-Counter Market 
Consolidated Water Co. Ltd.,Cayman Islands,NMS,Nasdaq Stock Market-National Market System 
Consortium G Dina Group S.A. de C.V.,Mexico,OTC,Over-the-Counter Market 
Consumers Packaging Inc.,Canada,OTC,Over-the-Counter Market 
Continental Energy Corp,Canada,OTC,Over-the-Counter Market 
Controladora Comercial Mexicana S.A. de C.V.,Mexico,NYSE,New York Stock Exchange 
Converium Holding AG,Switzerland,NYSE,New York Stock Exchange 
Cookson Group plc,United Kingdom,OTC,Over-the-Counter Market 
Coolbrands International Inc.,Canada,OTC,Over-the-Counter Market 
"Copamex Industries, S.A. de C.V.",Mexico,OTC,Over-the-Counter Market 
Copene - Petroquimica do Nordeste S.A.,Brazil,NYSE,New York Stock Exchange 
Coral Gold Corp.,Canada,OTC,Over-the-Counter Market 
Coral Group plc,United Kingdom,OTC,Over-the-Counter Market 
Cordiant Communications Group plc,United Kingdom,NYSE,New York Stock Exchange 
Corel Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Corimon C.A.,Venezuela,NYSE,New York Stock Exchange 
Corus Entertainment Inc.,Canada,NYSE,New York Stock Exchange 
Corus Group plc,United Kingdom,NYSE,New York Stock Exchange 
Cott Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Counsel Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
CP Ships Ltd.,Canada,NYSE,New York Stock Exchange 
Crayfish Co. Ltd.,Japan,NMS,Nasdaq Stock Market-National Market System 
Cream Minerals Ltd.,Canada,OTC,Over-the-Counter Market 
Creative Technology Ltd.,Singapore,NMS,Nasdaq Stock Market-National Market System 
Creator Capital Ltd.,Canada,OTC,Over-the-Counter Market 
Credicorp,Bermuda,NYSE,New York Stock Exchange 
Credit Suisse Group,Switzerland,NYSE,New York Stock Exchange 
Creo Products Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Cresud Sacif,Argentina,NMS,Nasdaq Stock Market-National Market System 
Crew Development Corp.,Canada,OTC,Over-the-Counter Market 
CRH plc,Ireland,NMS,Nasdaq Stock Market-National Market System 
Cristalerias de Chile S.A.,Chile,NYSE,New York Stock Exchange 
Crosswave Communications Inc.,Japan,NMS,Nasdaq Stock Market-National Market System 
Crow Technologies 1977 Ltd.,Israel,OTC,Over-the-Counter Market 
Crucell N.V.,Netherlands,NMS,Nasdaq Stock Market-National Market System 
Cryopack Industries Inc.,Canada,OTC,Over-the-Counter Market 
Cryptologic Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Crystal Graphite Corp.,Canada,OTC,Over-the-Counter Market 
Crystal Systems Solutions Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Crystallex International Corp.,Canada,AMEX,American Stock Exchange 
CSR Ltd.,Australia,OTC,Over-the-Counter Market 
CTI Holdings S.A.,Argentina,OTC,Over-the-Counter Market 
Cumberland Resources Ltd.,Canada,OTC,Over-the-Counter Market 
Current Technology Corp.,Canada,OTC,Over-the-Counter Market 
Cusac Gold Mines Ltd.,Canada,OTC,Over-the-Counter Market 
D G Jewelry of Canada Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
DaimlerChrysler AG,Germany,NYSE,New York Stock Exchange 
Dassault Systems S.A.,France,NMS,Nasdaq Stock Market-National Market System 
Datalex plc,Ireland,NMS,Nasdaq Stock Market-National Market System 
Datamirror Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Datawave Systems Inc.,Canada,OTC,Over-the-Counter Market 
Daugherty Resources Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Dayton Mining Co.,Canada,AMEX,American Stock Exchange 
De Rigo S.p.A.,Italy,NYSE,New York Stock Exchange 
Dealcheck.com Inc.,Canada,OTC,Over-the-Counter Market 
Decoma International Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Dectron Internationale Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Delano Technology Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Delta Galil Industries Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Derek Resources Corp.,Canada,OTC,Over-the-Counter Market 
Derlan Manufacturing Inc.,Canada,OTC,Over-the-Counter Market 
Desc S.A. de C.V.,Mexico,NYSE,New York Stock Exchange 
Descartes Systems Group Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Deswell Industries Inc.,British Virgin Islands,NMS,Nasdaq Stock Market-National Market System 
Deutsche Bank Aktiengesellschaft,Germany,NYSE,New York Stock Exchange 
Deutsche Telekom AG,Germany,NYSE,New York Stock Exchange 
